hex_id,Stress,Happy,Loneliness,Anxiety,Energy,EnvBeauty,EnvInteresting,EnvSafety,EnvCrowded,EnvironmentGreeness,DataPointCount
891f18840dbffff,2.0,5.0,2.0,1.0,5.0,3.0,4.0,4.0,1.0,5.0,1
891f18844a7ffff,1.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,1
891f188450bffff,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,1.0,1
891f1884547ffff,3.0,3.5,1.5,2.0,3.5,2.5,2.5,3.5,3.5,2.5,2
891f18845a3ffff,1.0,3.0,3.0,1.0,1.0,3.0,2.0,4.0,2.0,5.0,1
891f1884d0bffff,2.0,3.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,3.0,1
891f1884d47ffff,3.0,3.0,1.0,2.0,3.0,2.0,3.0,5.0,1.0,1.0,1
891f1884dc3ffff,2.0,4.0,1.0,2.0,3.0,5.0,3.0,5.0,2.0,5.0,1
891f1884dd7ffff,1.2,4.0,2.8,1.0,2.8,4.6,3.4,5.0,1.0,4.8,5
891f1886037ffff,1.0,5.0,2.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,1
891f1886193ffff,1.0,4.0,1.0,1.0,4.0,5.0,5.0,5.0,1.0,5.0,1
891f1886673ffff,3.0,3.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,1.0,2
891f188680fffff,2.0,2.5,2.5,1.0,2.5,1.0,1.0,3.0,1.0,1.0,2
891f1886843ffff,2.4,3.1,1.2,1.6,2.7,4.6,4.0,5.0,1.2,4.1,9
891f1886863ffff,2.0,3.0,2.5,1.0,2.0,5.0,5.0,5.0,1.0,5.0,2
891f1886867ffff,2.8,3.8,1.5,1.0,2.2,5.0,4.2,5.0,1.0,3.8,4
891f1886913ffff,1.8,3.6,1.3,1.2,3.2,2.4,1.2,4.9,1.1,3.1,10
891f1886927ffff,2.0,4.0,2.0,1.0,4.0,,,5.0,1.0,,1
891f188692bffff,1.5,4.0,1.0,1.0,3.5,,,5.0,1.0,,2
891f188692fffff,1.0,4.5,1.0,1.0,3.5,,,5.0,1.0,,2
