hex_id,Stress,Happy,Loneliness,Anxiety,Energy,EnvBeauty,EnvInteresting,EnvSafety,EnvCrowded,EnvironmentGreeness,DataPointCount
881f188453fffff,1.3,3.7,1.0,1.0,3.3,3.0,3.7,5.0,1.0,3.7,3
881f1884ddfffff,1.3,4.0,2.5,1.2,2.8,4.7,3.3,5.0,1.2,4.8,6
881f188685fffff,2.4,3.1,1.0,1.5,2.6,4.6,4.0,5.0,1.2,4.0,8
881f188687fffff,2.2,3.4,2.0,1.0,1.8,5.0,4.6,5.0,1.0,4.2,5
881f188691fffff,1.8,3.6,1.2,1.1,3.2,2.4,1.2,4.9,1.0,3.1,9
881f188693fffff,1.5,4.2,1.3,1.0,3.7,,,5.0,1.0,,6
881f188697fffff,1.0,4.0,1.0,1.0,3.3,4.8,4.5,5.0,1.0,4.0,6
881f18869bfffff,2.0,4.0,1.7,1.0,3.0,2.7,3.7,5.0,2.7,4.3,3
881f1886b7fffff,1.0,4.0,1.0,1.0,3.7,4.3,2.3,5.0,1.0,5.0,3
881f1886b9fffff,4.0,4.0,1.0,1.0,4.0,5.0,4.0,5.0,1.0,4.0,1
881f1896b3fffff,2.0,4.0,1.0,1.0,3.5,4.0,4.0,5.0,1.0,3.5,2
881f1896bbfffff,2.7,4.3,1.7,1.9,2.5,4.2,4.1,4.9,1.2,3.5,11
881f18b019fffff,4.0,3.0,1.0,2.0,4.0,4.0,3.0,4.0,1.0,4.0,1
881f18b021fffff,3.0,4.0,1.3,2.7,2.3,4.0,3.0,5.0,1.0,4.0,3
881f18b025fffff,3.0,3.0,1.0,2.0,2.0,5.0,4.0,5.0,1.0,5.0,1
881f18b027fffff,2.8,3.8,1.3,1.3,3.7,4.0,3.5,4.5,1.5,4.3,6
881f18b029fffff,2.8,2.2,2.8,1.8,1.8,4.5,3.8,4.8,1.0,4.2,6
881f18b035fffff,1.0,3.5,2.5,1.0,1.0,4.5,3.5,5.0,1.0,5.0,2
881f18b041fffff,2.0,5.0,1.0,1.0,3.0,4.0,4.0,5.0,1.0,3.0,1
881f18b045fffff,2.0,5.0,1.0,1.0,4.0,3.0,4.0,5.0,3.0,5.0,1
881f18b049fffff,2.4,3.8,1.0,1.8,2.6,4.5,3.6,5.0,1.1,2.3,12
881f18b057fffff,2.1,3.2,2.2,1.0,3.2,3.4,2.8,4.8,1.1,4.4,16
881f18b0bbfffff,1.0,4.5,1.0,1.0,3.0,4.0,3.0,4.0,1.0,4.0,2
881f18b0d1fffff,3.0,3.0,1.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,1
881f18b0d3fffff,3.5,3.0,1.5,3.0,3.0,3.0,4.0,5.0,2.5,4.5,2
881f18b0dbfffff,3.3,3.3,1.7,2.7,2.8,2.8,3.2,4.2,1.7,2.5,6
881f18b0ebfffff,2.5,4.5,1.0,1.0,3.5,4.5,3.0,5.0,1.5,4.0,2
881f18b119fffff,2.4,3.1,2.4,2.2,2.8,3.3,3.5,4.0,2.4,2.4,10
881f18b1c9fffff,1.3,3.3,3.7,1.0,1.3,4.7,4.0,5.0,2.3,5.0,3
881f18b205fffff,3.0,2.2,3.4,1.4,2.4,3.6,1.8,3.6,1.8,4.4,5
881f18b207fffff,3.0,3.0,1.0,1.0,4.0,3.0,3.0,4.0,2.0,4.0,1
881f18b213fffff,2.3,3.3,1.4,1.9,2.6,3.4,3.3,3.9,1.3,2.6,18
881f18b215fffff,2.6,4.4,1.9,1.1,2.2,4.9,5.0,5.0,1.0,3.1,9
881f18b217fffff,3.9,3.4,2.3,3.3,2.0,4.6,4.4,4.0,2.0,1.1,7
881f18b219fffff,1.1,3.7,2.5,1.0,2.8,4.1,3.6,4.6,1.6,3.0,15
881f18b21bfffff,3.0,3.0,1.4,2.5,2.7,3.4,4.2,4.6,2.6,2.9,14
881f18b21dfffff,3.8,3.0,2.2,2.0,2.8,4.0,3.8,4.8,1.2,3.0,4
881f18b221fffff,2.3,4.0,1.3,2.3,2.3,4.5,4.0,5.0,1.0,3.3,6
881f18b225fffff,3.2,3.8,2.0,1.5,2.8,5.0,4.2,5.0,1.0,5.0,4
881f18b229fffff,2.5,3.4,2.2,1.9,2.4,4.3,3.3,4.8,1.6,3.9,11
881f18b22bfffff,2.2,3.8,1.5,1.0,3.0,4.5,3.8,5.0,2.0,4.0,4
881f18b241fffff,2.3,3.2,1.8,1.3,2.4,3.6,2.7,5.0,1.1,2.4,20
881f18b243fffff,2.6,3.8,1.6,1.4,3.2,4.1,3.9,4.8,1.9,3.6,29
881f18b245fffff,2.3,3.5,1.1,1.4,2.8,3.9,3.5,4.1,2.5,2.2,13
881f18b247fffff,1.0,5.0,1.0,1.0,4.0,4.0,3.0,5.0,3.0,1.0,1
881f18b249fffff,2.0,3.2,1.8,2.0,2.8,2.5,3.5,3.8,1.5,1.8,4
881f18b24bfffff,2.2,3.6,1.7,1.9,2.7,3.5,2.7,4.4,1.3,2.4,22
881f18b24dfffff,2.6,3.0,2.5,1.4,2.6,3.8,3.2,4.5,1.2,3.0,8
881f18b251fffff,2.7,3.3,1.0,1.7,2.3,3.3,3.7,5.0,1.0,2.7,3
881f18b253fffff,2.3,3.0,2.3,1.5,2.5,4.2,2.9,4.8,1.2,2.9,13
881f18b255fffff,3.5,4.0,1.0,1.0,1.5,4.0,3.0,4.5,4.0,2.0,2
881f18b25bfffff,2.0,3.4,1.4,1.2,2.6,4.0,3.4,4.6,1.2,2.6,5
881f18b25dfffff,1.8,2.8,1.8,1.1,2.0,3.8,2.2,5.0,1.2,3.6,13
881f18b261fffff,2.8,3.0,2.1,1.6,2.3,2.3,2.4,3.9,2.2,2.7,9
881f18b265fffff,3.0,4.0,1.0,3.0,2.0,2.0,3.0,5.0,1.0,2.0,1
881f18b267fffff,1.0,3.0,1.0,1.0,3.2,4.8,4.0,5.0,1.0,2.2,4
881f18b269fffff,1.9,3.9,1.2,1.1,3.0,3.6,3.9,4.7,1.7,2.2,15
881f18b26bfffff,2.2,3.5,1.5,1.0,3.0,2.8,3.5,4.5,1.8,2.0,4
881f18b281fffff,2.0,4.0,2.0,2.2,3.0,4.8,4.0,5.0,1.0,3.5,4
881f18b295fffff,1.4,3.6,1.4,2.0,2.4,3.8,2.9,5.0,1.2,3.5,8
881f18b2a5fffff,4.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,1
881f18b2adfffff,1.8,3.4,2.0,1.8,3.0,4.0,3.2,4.2,1.4,4.0,5
881f18b2b5fffff,2.0,4.8,1.0,1.0,1.5,4.5,5.0,5.0,1.0,4.0,4
881f18b2c3fffff,3.3,2.6,2.5,2.2,2.4,2.8,3.0,3.8,1.4,2.5,12
881f18b2e1fffff,4.0,3.0,2.0,1.0,1.0,3.0,2.0,5.0,1.0,1.0,1
881f18b2e7fffff,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,1
881f18b2e9fffff,1.6,4.0,1.0,1.2,3.2,4.2,2.8,4.4,1.2,3.6,5
881f18b303fffff,2.0,4.0,1.0,1.0,1.7,,,5.0,1.0,,3
881f18b305fffff,1.1,4.3,1.0,1.0,3.8,4.7,4.8,5.0,1.0,4.4,10
881f18b309fffff,2.0,3.1,3.2,2.4,3.1,1.9,2.5,4.6,1.0,3.2,8
881f18b30bfffff,2.0,4.0,1.0,1.0,4.0,3.0,3.0,5.0,1.0,4.0,1
881f18b30dfffff,2.8,2.5,1.5,2.2,2.5,3.2,3.8,4.8,1.8,3.5,4
881f18b311fffff,4.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,1.0,1
881f18b313fffff,3.0,2.1,2.8,2.6,1.8,3.1,2.1,4.0,2.0,3.0,12
881f18b31bfffff,2.2,3.8,1.8,2.0,3.0,3.8,4.4,4.6,1.4,1.4,5
881f18b31dfffff,3.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,1.0,1
881f18b321fffff,3.2,4.0,1.8,2.2,2.2,4.8,4.2,5.0,1.5,4.0,4
881f18b335fffff,1.5,2.2,4.8,1.7,1.8,2.9,1.9,3.9,1.4,4.0,13
881f18b341fffff,2.5,3.5,1.5,1.0,3.5,2.0,2.5,4.5,3.0,2.5,2
881f18b343fffff,2.4,3.3,1.8,1.5,2.8,3.6,3.0,4.4,1.6,3.9,14
881f18b347fffff,2.1,2.5,3.5,2.5,2.2,3.6,3.0,4.9,1.2,3.2,11
881f18b349fffff,3.0,3.5,1.5,1.5,3.2,4.8,4.2,5.0,1.2,4.2,4
881f18b34dfffff,3.0,3.0,2.7,2.0,2.3,2.0,2.0,4.3,2.3,2.3,3
881f18b351fffff,2.2,4.0,1.0,1.0,3.3,4.0,3.0,5.0,1.0,3.2,6
881f18b357fffff,2.0,4.3,1.2,1.0,2.4,4.3,2.5,4.9,1.3,3.1,10
881f18b359fffff,1.4,2.9,1.0,1.0,2.9,4.2,3.1,5.0,1.2,4.2,20
881f18b36bfffff,2.3,3.8,1.8,2.6,3.4,4.3,4.0,4.9,1.1,4.6,9
881f18b403fffff,1.0,4.5,2.5,1.0,3.5,5.0,4.5,5.0,1.0,4.0,2
881f18b415fffff,2.0,3.0,2.0,1.0,2.0,4.0,3.0,5.0,1.0,4.0,1
881f18b445fffff,1.0,5.0,1.0,1.0,4.0,5.0,4.0,5.0,1.0,5.0,2
881f18b469fffff,1.5,3.2,1.2,1.2,3.3,5.0,4.2,5.0,1.0,5.0,6
881f18b713fffff,2.2,3.7,1.5,1.2,3.0,4.6,4.3,4.9,1.0,3.9,10
881f18b739fffff,2.7,4.0,2.3,1.0,3.7,5.0,4.3,4.3,1.0,4.7,3
881f18b769fffff,2.3,3.7,1.1,1.5,2.8,3.8,3.8,4.8,1.0,4.0,13
881f1d40bdfffff,3.5,3.0,1.5,3.0,2.5,3.5,3.5,5.0,1.5,2.0,2
881f1d4101fffff,1.0,4.0,1.0,1.0,3.0,5.0,4.0,5.0,1.0,5.0,1
881f1d4121fffff,2.0,3.8,1.5,1.5,2.0,3.5,2.0,5.0,1.0,3.8,4
881f1d4123fffff,4.0,3.0,1.0,4.0,2.0,1.0,1.0,5.0,1.0,2.0,1
881f1d4131fffff,1.6,3.2,1.0,1.0,2.8,2.6,2.4,5.0,1.0,2.4,5
881f1d4163fffff,5.0,3.0,1.0,1.0,4.0,5.0,4.0,5.0,1.0,5.0,1
