hex_id,Stress,Happy,Loneliness,Anxiety,Energy,EnvBeauty,EnvInteresting,EnvSafety,EnvCrowded,EnvironmentGreeness,DataPointCount
881f18844bfffff,1.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,1
881f1886bbfffff,1.0,4.0,2.0,1.0,5.0,,,5.0,1.0,,1
881f1886e7fffff,1.0,4.0,1.5,1.0,3.5,5.0,4.0,5.0,1.0,5.0,2
881f18b025fffff,3.0,3.0,1.0,1.0,2.0,5.0,4.0,5.0,1.0,5.0,1
881f18b027fffff,2.5,3.8,1.0,1.2,2.8,5.0,5.0,5.0,1.0,5.0,4
881f18b0dbfffff,1.0,4.0,1.0,1.0,4.0,3.0,1.0,4.0,1.0,4.0,1
881f18b20dfffff,1.0,2.0,3.0,1.0,3.0,4.0,4.0,4.0,1.0,3.0,1
881f18b21dfffff,1.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,1.0,3.0,1
881f18b253fffff,1.3,4.0,1.3,1.0,3.7,3.0,4.0,4.3,2.3,2.3,3
881f18b265fffff,3.0,4.0,1.0,1.0,4.0,5.0,3.0,4.0,4.0,4.0,1
881f18b267fffff,1.0,3.0,1.0,1.0,3.0,4.0,4.0,5.0,1.0,4.0,1
881f18b26dfffff,1.0,4.0,1.0,1.0,1.0,4.0,4.0,5.0,1.0,5.0,1
881f18b295fffff,1.0,5.0,1.0,1.0,4.0,5.0,5.0,5.0,2.0,2.0,1
881f18b2a7fffff,1.0,4.0,4.0,1.0,3.0,5.0,4.0,5.0,1.0,5.0,1
881f18b301fffff,1.0,4.0,2.0,2.0,4.0,4.0,4.0,5.0,1.0,5.0,1
881f18b34bfffff,5.0,4.0,1.0,1.0,2.0,2.0,3.0,4.0,2.0,3.0,1
881f18b34dfffff,3.0,5.0,1.0,1.0,5.0,4.0,5.0,5.0,2.0,4.0,1
881f18b355fffff,1.0,5.0,1.0,1.0,3.0,5.0,5.0,5.0,2.0,4.0,1
881f18b359fffff,1.0,2.0,1.0,1.0,2.0,5.0,5.0,5.0,1.0,5.0,1
881f18b42dfffff,2.0,4.0,1.0,1.0,4.0,4.0,5.0,5.0,1.0,5.0,1
881f18b451fffff,1.0,4.0,1.0,1.0,4.0,5.0,5.0,5.0,1.0,5.0,1
881f18b469fffff,2.0,3.0,1.5,1.5,3.0,5.0,5.0,5.0,1.0,5.0,2
881f18b707fffff,1.0,5.0,1.0,1.0,4.0,5.0,2.0,5.0,1.0,5.0,1
881f1d4121fffff,4.0,3.0,2.0,1.0,2.0,2.0,1.0,5.0,1.0,3.0,1
881f1d4131fffff,2.0,3.0,1.0,1.0,3.0,3.0,3.0,5.0,1.0,5.0,1
881f1d4823fffff,2.0,3.0,1.0,1.0,4.0,3.0,3.0,5.0,2.0,3.0,1
