hex_id,Stress,Happy,Loneliness,Anxiety,Energy,EnvBeauty,EnvInteresting,EnvSafety,EnvCrowded,EnvironmentGreeness,DataPointCount
881f18840dfffff,2.0,5.0,2.0,1.0,5.0,3.0,4.0,4.0,1.0,5.0,1
881f18844bfffff,1.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,1
881f188451fffff,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,1.0,1
881f188453fffff,1.2,3.8,1.2,1.0,3.2,3.2,3.8,5.0,1.0,4.0,4
881f188455fffff,3.3,3.0,1.3,1.7,2.7,2.3,2.0,3.7,2.7,2.0,3
881f18845bfffff,1.0,3.0,3.0,1.0,1.0,3.0,2.0,4.0,2.0,5.0,1
881f1884d1fffff,2.0,3.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,3.0,1
881f1884d5fffff,3.0,3.0,1.0,2.0,3.0,2.0,3.0,5.0,1.0,1.0,1
881f1884ddfffff,1.3,4.0,2.5,1.2,2.8,4.7,3.3,5.0,1.2,4.8,6
881f188603fffff,1.0,5.0,2.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,1
881f188619fffff,1.0,4.0,1.0,1.0,4.0,5.0,5.0,5.0,1.0,5.0,1
881f188667fffff,3.0,3.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,1.0,2
881f188681fffff,2.0,2.5,2.5,1.0,2.5,1.0,1.0,3.0,1.0,1.0,2
881f188685fffff,2.4,3.1,1.2,1.6,2.7,4.6,4.0,5.0,1.2,4.1,9
881f188687fffff,2.2,3.4,2.0,1.0,1.8,5.0,4.6,5.0,1.0,4.2,5
881f188691fffff,1.8,3.6,1.3,1.2,3.2,2.4,1.2,4.9,1.1,3.1,10
881f188693fffff,1.5,4.2,1.3,1.0,3.7,,,5.0,1.0,,6
881f188697fffff,1.0,3.9,1.0,1.0,3.4,4.6,4.3,5.0,1.0,3.9,7
881f18869bfffff,2.0,4.0,1.7,1.0,3.0,2.7,3.7,5.0,2.7,4.3,3
881f1886abfffff,1.0,3.0,1.0,1.0,3.0,3.0,2.0,5.0,2.0,2.0,1
881f1886b1fffff,2.0,3.5,1.5,1.5,3.5,3.0,2.0,4.5,1.0,4.0,2
881f1886b7fffff,1.6,4.2,1.0,1.0,3.8,3.6,2.2,5.0,1.0,4.6,5
881f1886b9fffff,4.0,3.5,1.5,1.0,3.0,3.0,2.5,4.5,1.0,4.5,2
881f1886bbfffff,1.0,4.0,2.0,1.0,5.0,,,5.0,1.0,,1
881f1886e3fffff,4.0,5.0,1.0,1.0,3.0,5.0,3.0,5.0,1.0,5.0,1
881f1886e5fffff,3.0,4.0,3.0,2.0,2.0,2.0,1.0,4.0,3.0,5.0,1
881f1886e7fffff,1.0,4.0,1.5,1.0,3.5,5.0,4.0,5.0,1.0,5.0,2
881f188715fffff,2.0,3.0,1.0,1.0,4.0,2.0,4.0,4.0,1.0,5.0,1
881f189493fffff,4.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,1
881f1896b3fffff,2.0,4.0,1.0,1.0,3.5,4.0,4.0,5.0,1.0,3.5,2
881f1896b7fffff,3.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,1.0,3.0,1
881f1896bbfffff,2.7,4.3,1.7,1.9,2.5,4.2,4.1,4.9,1.2,3.5,11
881f18b005fffff,2.0,4.0,1.0,1.0,3.0,3.0,2.0,5.0,2.0,3.0,1
881f18b009fffff,2.0,5.0,1.0,2.0,3.0,5.0,5.0,5.0,2.0,5.0,1
881f18b019fffff,3.0,3.5,1.0,1.5,3.5,3.5,3.0,4.0,1.0,4.0,2
